"URL","Title","Season","Episode","Show"
"https://www.mtv.com/episodes/qadmhp/all-star-shore-a-b-c-you-later-season-1-ep-9","All Star Shore - Season 1, Ep. 9 - A, B, C You Later - Full Episode | MTV",1,9,"All Star Shore"
"https://www.mtv.com/episodes/brhq96/all-star-shore-this-is-a-case-for-the-fbi-season-2-ep-10","All Star Shore - Season 2, Ep. 10 - This Is a Case for the FBI - Full Episode | MTV",2,10,"All Star Shore"
"https://www.mtv.com/episodes/pz86ti/all-star-shore-the-final-shore-down-season-2-ep-12","All Star Shore - Season 2, Ep. 12 - The Final Shore-down - Full Episode | MTV",2,12,"All Star Shore"
"https://www.mtv.com/episodes/n6bnkp/all-star-shore-puke-rally-season-2-ep-2","All Star Shore - Season 2, Ep. 2 - Puke & Rally - Full Episode | MTV",2,2,"All Star Shore"
"https://www.mtv.com/episodes/4o807p/all-star-shore-your-brain-is-like-a-t-rex-season-2-ep-3","All Star Shore - Season 2, Ep. 3 - Your Brain Is Like a T-Rex - Full Episode | MTV",2,3,"All Star Shore"
"https://www.mtv.com/episodes/9g6guq/all-star-shore-i-m-too-pretty-for-this-season-2-ep-5","All Star Shore - Season 2, Ep. 5 - I'm Too Pretty for This - Full Episode | MTV",2,5,"All Star Shore"
"https://www.mtv.com/episodes/7jc9vg/all-star-shore-say-bye-bye-to-your-partner-season-2-ep-6","All Star Shore - Season 2, Ep. 6 - Say Bye, Bye to Your Partner - Full Episode | MTV",2,6,"All Star Shore"
"https://www.mtv.com/episodes/4qjy20/all-star-shore-i-had-a-drink-thrown-in-my-face-season-2-ep-7","All Star Shore - Season 2, Ep. 7 - I Had a Drink Thrown in My Face - Full Episode | MTV",2,7,"All Star Shore"
"https://www.mtv.com/episodes/cwl6id/all-star-shore-i-d-rather-be-a-worm-than-a-rat-season-2-ep-8","All Star Shore - Season 2, Ep. 8 - I'd Rather Be a Worm Than a Rat - Full Episode | MTV",2,8,"All Star Shore"
"https://www.mtv.com/episodes/rq8flt/all-star-shore-we-re-all-naked-it-s-carnage-season-2-ep-9","All Star Shore - Season 2, Ep. 9 - We're All Naked… It's Carnage - Full Episode | MTV",2,9,"All Star Shore"
"https://www.mtv.com/episodes/2vgh2t/amazingness-episode-1-season-1-ep-1","Amazingness - Season 1, Ep. 1 - Episode 1 - Full Episode | MTV",1,1,"Amazingness"
"https://www.mtv.com/episodes/jjieti/amazingness-episode-2-season-1-ep-2","Amazingness - Season 1, Ep. 2 - Episode 2 - Full Episode | MTV",1,2,"Amazingness"
"https://www.mtv.com/episodes/v9qcrr/amazingness-episode-3-season-1-ep-3","Amazingness - Season 1, Ep. 3 - Episode 3 - Full Episode | MTV",1,3,"Amazingness"
"https://www.mtv.com/episodes/q7dqg3/amazingness-episode-4-season-1-ep-4","Amazingness - Season 1, Ep. 4 - Episode 4 - Full Episode | MTV",1,4,"Amazingness"
"https://www.mtv.com/episodes/9gk5pq/amazingness-episode-5-season-1-ep-5","Amazingness - Season 1, Ep. 5 - Episode 5 - Full Episode | MTV",1,5,"Amazingness"
"https://www.mtv.com/episodes/4ocw8g/amazingness-episode-6-season-1-ep-6","Amazingness - Season 1, Ep. 6 - Episode 6 - Full Episode | MTV",1,6,"Amazingness"
"https://www.mtv.com/episodes/i5d026/amazingness-episode-7-season-1-ep-7","Amazingness - Season 1, Ep. 7 - Episode 7 - Full Episode | MTV",1,7,"Amazingness"
"https://www.mtv.com/episodes/oq140y/amazingness-episode-8-season-1-ep-8","Amazingness - Season 1, Ep. 8 - Episode 8 - Full Episode | MTV",1,8,"Amazingness"
"https://www.mtv.com/episodes/v8ntqh/daria-anti-social-climbers-season-4-ep-2","Anti-Social Climbers - Daria (Video Clip) | MTV",4,2,"Anti-Social Climbers"
