"URL","Title","Season","Episode","Show"
"https://www.mtv.com/video-clips/zrxv8v","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/2p1q22","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/vcn1xy","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/2zi5l7","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/qz3ifj","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/jakjjk","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/vyj1ye","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/x8ztp6","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/7eiaai","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/gf82jy","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/eab03w","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/hll91m","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/4kphdn","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/o2h3py","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/xlesud","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/n05ubm","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/lqolvh","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/zuaf0n","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/ze2arw","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/rcb80t","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/z52so3","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/b7vply","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/rwf9s8","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/xv8gav","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/w2eldk","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/rnbi1d","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/vuj88i","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/nz1qy1","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/cwmi41","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/g77t6p","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/onuzar","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/4l1sh1","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/v6kjz4","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/4d2a0y","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/27nhee","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/q1poh7","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/z20skk","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/4g7c8r","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/wp9w39","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/rfrq7c","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/c5w21u","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/e6emlh","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/1s3wfy","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/bf5fzf","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/gauu5i","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/h10e2s","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/h33jyh","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/ts3i3r","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/hxc6tu","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/fj3jq8","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/r2emzk","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/b40o2b","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/81097c","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/v69i35","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/picim7","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/426h65","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/fn3vur","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/2mz10o","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/jlkl6l","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/bycowr","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/4hupxx","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/ffcqtd","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/kve3pz","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/ji71vq","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/rhd5mt","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/fjdz5c","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/rpi9os","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/ab1m05","16 and Pregnant",,,"16 and Pregnant"
